Id|TIPO_VIA|NOMBRE_VIA|PORTAL1|PORTAL2|CODPOSTAL|COD_INE_MUNICIPIO|LATITUD_WGS84_4326|LONGITUD_WGS84_4326|PROVINCIA|MUNICIPIO|POBLACION
|||||||38,344641|-0,484290|||
|||||||38,345298|-0,479276|||
|||||||38,348288|-0,475038|||
|||||||38,340246|-0,492831|||
|||||||38,343038|-0,490792|||
|||||||38,344179|-0,490499|||
|||||||38,338775|-0,492003|||
|||||||38,343945|-0,493897|||
|||||||38,351197|-0,473786|||
|||||||38,346048|-0,493008|||
|||||||38,347674|-0,492829|||
|||||||38,348894|-0,491101|||
|||||||38,348354|-0,489366|||
|||||||38,347052|-0,489582|||
|||||||38,347999|-0,486774|||
|||||||38,349392|-0,487083|||
|||||||38,350351|-0,488985|||
|||||||38,352028|-0,488635|||
|||||||38,354787|-0,487507|||
|||||||38,354749|-0,488474|||
|||||||38,357481|-0,490523|||
|||||||38,358311|-0,487950|||
|||||||38,355988|-0,485849|||
|||||||38,352706|-0,486876|||
|||||||38,351259|-0,486473|||
|||||||38,349821|-0,485435|||
|||||||38,351464|-0,484232|||
|||||||38,358941|-0,489648|||
|||||||38,349944|-0,479183|||
|||||||38,354858|-0,484852|||
|||||||38,352851|-0,479775|||
|||||||38,354196|-0,479043|||
|||||||38,354218|-0,480415|||
|||||||38,354626|-0,481432|||
|||||||38,355100|-0,481981|||
|||||||38,356656|-0,482405|||
|||||||38,356919|-0,484318|||
|||||||38,354802|-0,483679|||
|||||||38,358885|-0,485302|||
|||||||38,356952|-0,488209|||
|||||||38,353908|-0,475235|||
|||||||38,354539|-0,477567|||
|||||||38,355712|-0,478085|||
|||||||38,356420|-0,479727|||
|||||||38,357418|-0,479956|||
|||||||38,358213|-0,482104|||
|||||||38,358504|-0,483473|||
|||||||38,360264|-0,483041|||
|||||||38,360078|-0,480784|||
|||||||38,361882|-0,480655|||
|||||||38,362723|-0,482028|||
|||||||38,363974|-0,483753|||
|||||||38,364218|-0,481472|||
|||||||38,366101|-0,482535|||
|||||||38,367527|-0,483284|||
|||||||38,364428|-0,465454|||
|||||||38,355469|-0,474494|||
|||||||38,357007|-0,474500|||
|||||||38,356677|-0,472989|||
|||||||38,358831|-0,473155|||
|||||||38,358353|-0,475269|||
|||||||38,361796|-0,479489|||
|||||||38,357493|-0,477874|||
|||||||38,358425|-0,479182|||
|||||||38,359337|-0,478582|||
|||||||38,358639|-0,476623|||
|||||||38,359967|-0,475751|||
|||||||38,360331|-0,478781|||
|||||||38,360893|-0,477451|||
|||||||38,364094|-0,477184|||
|||||||38,361471|-0,478430|||
|||||||38,358695|-0,480843|||
|||||||38,356502|-0,475981|||
|||||||38,360198|-0,474494|||
|||||||38,361667|-0,482670|||
|||||||38,366710|-0,469459|||
|||||||38,362008|-0,470409|||
|||||||38,367819|-0,475786|||
|||||||38,362953|-0,473905|||
|||||||38,364343|-0,471558|||
|||||||38,368644|-0,484698|||
|||||||38,368005|-0,433777|||
|||||||38,358590|-0,428842|||
|||||||38,369929|-0,484540|||
|||||||38,366705|-0,437881|||
|||||||38,371326|-0,485027|||
|||||||38,369803|-0,481241|||
|||||||38,372863|-0,480944|||
